Enteroendocrine,Enterocyte,Secretory,Stem,MCell
CHST11,ATP6V0A2,SRD5A1,,
TEKT2,RHBG,SLC39A7,,
TRPM2,TMEM82,TMEM248,,
MAP9,GALM,BET1L,,
CTIF,C1orf116,SEC23IP,,
BTBD17,AC027796.3,COG6,,
RUFY2,SLC15A1,RAB3D,,
AMBP,SULT1B1,C9orf152,,
PKIA,SLC13A1,PRRC1,,
MAPKBP1,PM20D1,APPL2,,
UNC13A,FAHD1,C11orf24,,
GATM,TRIM31,SYNJ2,,
SLC35D3,OPTN,SMIM33,,
SPRED3,MYO7A,ARFGAP1,,
ZC3H12C,SLC37A4,FAM3D,,
MAPK15,PPARGC1A,EHD4,,
4-Mar,STOM,STX5,,
NEUROD2,REEP6,PLCB1,,
CIDEA,CMBL,PTGER4,,
KLHL32,CDKN2B,SLC39A11,,
HRH3,PGM2,PLLP,,
SLC8A1,MAF,GPR20,,
KLHL31,CTAGE1,SPINK4,,
GFRA1,SLC11A2,NFKB2,,
ADGB,SPSB1,TMCO3,,
LHX1,TMEM236,MLLT3,,
PLK5,CD36,GMPPA,,
,TREH,CDK5RAP3,,
,GSTK1,PARM1,,
,LIPE,KCNH3,,
,TMEM139,TSPAN1,,
,GSDMD,B3GNT7,,
,OCM,ENTPD4,,
,SRXN1,KDELR2,,
,LMBR1L,SPPL2A,,
,LPGAT1,IMPAD1,,
,FEZ2,MGAT3,,
,SLC52A2,CPD,,
,MOCOS,ASNS,,
,NEK3,HYOU1,,
,TM6SF2,UBA7,,
,AGPAT2,DNAJC3,,
,SLC23A2,GOLT1B,,
,XKR9,PYGB,,
,TOB1,MANF,,
,CLCN2,XBP1,,
,HECTD3,GALNTL6,,
,TBC1D22A,HSPA13,,
,CTSS,RAB27B,,
,SLC9A2,RASEF,,
,CDC42EP2,ITGA2,,
,MALL,GORASP1,,
,PLA2G12B,PCK1,,
,RHOD,PGM3,,
,KBTBD11,GALNT6,,
,ACOX1,GOLGA5,,
,ARHGAP26,SEC16A,,
,AC104389.5,EIF2AK3,,
,TCN2,OSBPL2,,
,MYLK,ZNF467,,
,THNSL2,HDLBP,,
,DHRS1,CBFA2T3,,
,ADH4,ZBP1,,
,DGKQ,B3GNT5,,
,AC090227.2,FAR1,,
,DNM1,ZNF330,,
,FRK,GCC2,,
,TSC22D3,LMAN1,,
,SLC35F5,LAMC2,,
,AC011479.1,HERPUD1,,
,S100G,SLC10A7,,
,UGDH,SERP1,,
,HAGH,SCAMP1,,
,XPNPEP1,GAL3ST2,,
,COBL,ODF2L,,
,HNF4G,HILPDA,,
,PARP9,COG3,,
,SGPL1,ALYREF,,
,PCCB,GALNT4,,
,SLC2A2,LITAF,,
,EPHX2,FAM98A,,
,KCNK5,PCSK9,,
,LRP1,ZBTB8A,,
,TMEM135,TMEM63A,,
,DUSP12,TRIM47,,
,ABCB1,SSR3,,
,TMEM252,EDEM3,,
,SLC7A8,TST,,
,C11orf54,ANG,,
,TM4SF5,SLC38A10,,
,AKR1B10,GUK1,,
,TMEM230,PCSK7,,
,ACBD4,TRABD,,
,CRAT,GFI1,,
,PCSK5,GNPNAT1,,
,GALT,PDXDC1,,
,GSTP1,HSPA5,,
,ILVBL,SLC35A2,,
,URGCP,ARL1,,
,CHCHD7,SMIM5,,
,CA4,CCND3,,
,SLC13A2,SAR1A,,
,EPHA1,F2RL1,,
,DAB1,STT3A,,
,SEPTIN9,TDRD7,,
,ADIPOR2,SIDT1,,
,CAST,PDIA3,,
,CASP6,LSS,,
,ITGA3,CMPK1,,
,RILP,NAGA,,
,NKIRAS2,SH3BGRL3,,
,6-Mar,SLC41A2,,
,PLIN3,OSTC,,
,RAB11FIP3,FGFR3,,
,RETSAT,FUT8,,
,ARG2,GGCX,,
,SLC39A5,PLAC9,,
,PEPD,SEC61B,,
,IDH1,BSCL2,,
,CCDC134,GOLM1,,
,MGAM,KLF4,,
,CEACAM20,SSR4,,
,SLC2A9,SRPRB,,
,FRMD8,YIPF6,,
,SMPDL3A,CLPTM1L,,
,SLC5A9,ID4,,
,GNA11,ARF4,,
,PLS1,GALE,,
,RAB17,EIF4EBP1,,
,LGALS3,SRPRA,,
,SLC25A37,TBC1D30,,
,GPR155,ZC3H7A,,
,SPNS2,S100A16,,
,ACOT11,MKNK2,,
,VMP1,TMPRSS2,,
,MERTK,TC2N,,
,ZZEF1,SLC35C1,,
,BCHE,UFSP2,,
,ABCD3,TMEM165,,
,AQP11,SEC62,,
,GCNT2,CYP51A1,,
,ACSL5,FAM3C,,
,GNG12,SLC49A3,,
,CDA,SLC37A1,,
,FCGRT,CMTM8,,
,SEMA4G,ADAM9,,
,ZFYVE21,CAPNS1,,
,PFKFB4,SYT7,,
,KIAA0319,PDIA4,,
,CYP4V2,SLC22A23,,
,KIAA1211,YIPF5,,
,PTDSS1,ATF4,,
,AC093525.2,ICK,,
,CYB5B,SRM,,
,MAOA,PLAUR,,
,VAT1,PYROXD1,,
,EHHADH,FRY,,
,SLC3A2,CYP2J2,,
,DHRS11,STK38L,,
,SH3TC1,SPRYD3,,
,IRAK2,GNE,,
,STX12,ALDH3B2,,
,DGAT1,RELL1,,
,ACAA1,KRTCAP2,,
,CYP4F8,SEC23B,,
,SNX9,ST3GAL1,,
,AHNAK,TLCD4,,
,EDN3,TULP4,,
,ZDHHC7,CAPN7,,
,PPP1R14D,GPR180,,
,SLC43A2,TXNDC11,,
,FAAH,COPB2,,
,TYMP,CALR,,
,ABHD14A-ACY1,HOMER2,,
,CYB5R3,SSR2,,
,RNF13,TBRG1,,
,RXRA,JTB,,
,DQX1,SYVN1,,
,SNX13,MORF4L2,,
,TICAM1,RPN2,,
,SIDT2,UGP2,,
,FAM78A,HM13,,
,ALDH18A1,SLC16A6,,
,RMDN3,SLC39A1,,
,SAT1,AC136352.3,,
,CKMT1A,COPG1,,
,TXLNG,SSR1,,
,SLC31A1,TMED2,,
,SLC25A36,ANK3,,
,SLC25A34,AC078927.1,,
,KIAA0319L,RPN1,,
,2-Mar,UGGT1,,
,ALDOB,PPIB,,
,DECR1,CAMSAP3,,
,SH3D21,DDOST,,
,UGT1A1,C19orf71,,
,CCS,SH3BGRL2,,
,KIFC3,GOLGB1,,
,SLC18B1,B3GNT3,,
,APRT,DCBLD2,,
,SLC22A1,SPCS2,,
,ACP6,SEC61A1,,
,OGDH,CANT1,,
,TFG,TPCN1,,
,TSTD1,GORASP2,,
,KLC4,PMM2,,
,ITPK1,ANO7,,
,BMP3,RRBP1,,
,PLD1,PACSIN1,,
,EZR,TNK2,,
,CORO2A,EIF2AK4,,
,CKB,SEC22B,,
,FARP2,TARS,,
,PXDC1,SLC1A5,,
,SAR1B,COPB1,,
,SCP2,YIF1B,,
,GGACT,ETNK1,,
,CST6,RAMP1,,
,SFT2D2,CLTB,,
,ABR,SLC22A15,,
,SLC34A2,KIF13A,,
